"","Date","Year","Month","ADM1_PCODE","Pop0_19","cases0_19","pred.mean","pred.median","pred.lci","pred.uci"
"312",2014-04-01,2014,4,"PE25",235480,20,75.359,37,0,392.175
"313",2014-05-01,2014,5,"PE16",446868,298,154.271,83,1,665.025
"314",2014-05-01,2014,5,"PE17",61776,22,6.615,3,0,30
"315",2014-05-01,2014,5,"PE20",738144,117,1213.245,532,8.975,6041.875
"316",2014-05-01,2014,5,"PE22",342603,11,132.171,56.5,0,658.2
"317",2014-05-01,2014,5,"PE24",87342,49,135.508,70,1,632.1
"318",2014-05-01,2014,5,"PE25",235480,16,55.726,29,0,252.05
"319",2014-06-01,2014,6,"PE16",446868,170,120.576,65.5,1,589.15
"320",2014-06-01,2014,6,"PE17",61776,14,4.916,3,0,23
"321",2014-06-01,2014,6,"PE20",738144,210,649.159,312.5,2,3048.025
"322",2014-06-01,2014,6,"PE22",342603,8,116.683,55,0,596.125
"323",2014-06-01,2014,6,"PE24",87342,55,136.614,77.5,1,621.325
"324",2014-06-01,2014,6,"PE25",235480,16,45.733,23,0,223.075
"325",2014-07-01,2014,7,"PE16",446868,139,90.875,50,0,435.05
"326",2014-07-01,2014,7,"PE17",61776,5,3.627,2,0,17
"327",2014-07-01,2014,7,"PE20",738144,130,363.89,183,3,1908.65
"328",2014-07-01,2014,7,"PE22",342603,7,117.763,54.5,0,641.075
"329",2014-07-01,2014,7,"PE24",87342,91,75.349,41,0,355.075
"330",2014-07-01,2014,7,"PE25",235480,24,45.229,22,0,224.1
"331",2014-08-01,2014,8,"PE16",446868,105,81.413,46,0.975000000000001,381.025
"332",2014-08-01,2014,8,"PE17",61776,5,2.574,1,0,13
"333",2014-08-01,2014,8,"PE20",738144,150,205.784,89,1,1130.325
"334",2014-08-01,2014,8,"PE22",342603,7,124.846,57,0,534.25
"335",2014-08-01,2014,8,"PE24",87342,87,53.917,30,0,239.05
"336",2014-08-01,2014,8,"PE25",235480,20,39.11,20,0,193.025
"337",2014-09-01,2014,9,"PE16",446868,165,84.1,46,0,402.325
"338",2014-09-01,2014,9,"PE17",61776,8,3.163,2,0,14
"339",2014-09-01,2014,9,"PE20",738144,86,137.572,64,1,770.075
"340",2014-09-01,2014,9,"PE22",342603,8,99.78,46,0,549.699999999999
"341",2014-09-01,2014,9,"PE24",87342,60,38.714,21,0,175.025
"342",2014-09-01,2014,9,"PE25",235480,66,56.927,30,0,271.075
"343",2014-10-01,2014,10,"PE16",446868,288,128.979,63,1,632.175
"344",2014-10-01,2014,10,"PE17",61776,8,6.469,4,0,28
"345",2014-10-01,2014,10,"PE20",738144,51,117.662,57,0,584.125
"346",2014-10-01,2014,10,"PE22",342603,2,107.397,53,0,529.774999999999
"347",2014-10-01,2014,10,"PE24",87342,34,27.509,14,0,140.025
"348",2014-10-01,2014,10,"PE25",235480,76,110.048,54,0,500.275
"349",2014-11-01,2014,11,"PE16",446868,301,251.117,128,1,1157.275
"350",2014-11-01,2014,11,"PE17",61776,13,14.842,9,0,64
"351",2014-11-01,2014,11,"PE20",738144,22,130.338,62,0,705.425
"352",2014-11-01,2014,11,"PE22",342603,12,155.077,74.5,0.975000000000001,875.574999999999
"353",2014-11-01,2014,11,"PE24",87342,62,19.226,10,0,87.025
"354",2014-11-01,2014,11,"PE25",235480,158,245.63,125.5,1,1224.25
"355",2014-12-01,2014,12,"PE16",446868,204,371.97,213,2.975,1633.25
"356",2014-12-01,2014,12,"PE17",61776,6,13.344,7,0,58.025
"357",2014-12-01,2014,12,"PE20",738144,14,134.414,67,0,600.075
"358",2014-12-01,2014,12,"PE22",342603,18,188.821,93,0,974.525
"359",2014-12-01,2014,12,"PE24",87342,57,14.417,8,0,68.05
"360",2014-12-01,2014,12,"PE25",235480,94,345.837,161,3,1632.425
"361",2015-01-01,2015,1,"PE16",446868,205,85.15,46,0,350.275
